Id;CodeCIS;Denomination;FormePharma;EstCommercialisée;StatutBDM;NoUE_autorisation;Titulaire(s);surveillance;JJ_MM_AAAA;idProcédure;idStatutAdmin
3772;62302938;AMLODIPINE/VALSARTAN SANDOZ 5 mg/80 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;SANDOZ;FAUX;23/02/2018;4;1
3773;62303075;PREGABALINE ACCORD 100 mg, gélule;gélule;FAUX;;EU/1/15/1027;ACCORD HEALTHCARE (ESPAGNE);FAUX;28/08/2015;5;1
3774;62303171;LEVETIRACETAM TEVA 1000 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/11/701;TEVA (PAYS-BAS);FAUX;26/08/2011;5;1
3775;62303214;ARIMIDEX 1 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;LABORATOIRES JUVISE PHARMACEUTICALS;FAUX;27/12/1996;1;1
3776;62304120;IMATINIB EG 400 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;05/09/2016;4;1
3777;62305457;LYSO 6, comprimé sublingual;comprimé;FAUX;;;PIERRE FABRE MEDICAMENT;FAUX;04/12/1997;2;1
3778;62305927;CORDARONE 150 mg/3 ml, solution injectable en ampoule (IV);solution injectable;FAUX;;;SANOFI WINTHROP INDUSTRIE;FAUX;17/01/1990;2;1
3779;62307903;CEBEMYXINE, collyre en solution;collyre en solution;VRAI;Warning disponibilité;;LABORATOIRE CHAUVIN;FAUX;11/04/1997;2;1
3780;62308389;NANOCIS 0,24 mg trousse pour préparation radiopharmaceutique;trousse et  trousse pour préparation radiopharmaceutique;FAUX;;;CIS BIO INTERNATIONAL;FAUX;29/12/1981;2;1
3781;62308535;GEMCITABINE SUN 10 mg/mL, solution pour perfusion;solution pour perfusion;FAUX;;;SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS);FAUX;23/12/2016;4;1
3782;62308720;ESCITALOPRAM CRISTERS 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;CRISTERS;FAUX;17/03/2014;2;1
3783;62310931;COSTEC 20 mg/mL + 5 mg/mL, collyre en solution;collyre en solution;FAUX;;;SANTEN OY;FAUX;31/08/2018;4;1
3784;62311182;LIORESAL 10 mg/20 ml, solution injectable pour perfusion par voie intrathécale en ampoule;solution injectable;FAUX;;;NOVARTIS PHARMA;FAUX;26/09/1994;2;1
3785;62311307;ALLOPURINOL VIATRIS 100 mg, comprimé;comprimé;FAUX;;;VIATRIS SANTE;FAUX;25/11/1997;2;1
3786;62311321;ZECLAR 50 mg/ml, granulés pour suspension buvable;granulés pour suspension buvable;FAUX;;;VIATRIS MEDICAL;FAUX;17/08/1998;2;1
3787;62312163;IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 300 mg/25 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/06/377;ZENTIVA (REPUBLIQUE TCHEQUE);FAUX;19/01/2007;5;1
3788;62312601;OXOMEMAZINE ARROW 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique;solution buvable;FAUX;;;ARROW GENERIQUES;FAUX;22/07/2010;2;1
3789;62312829;NISIS 80 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;NOVARTIS PHARMA;FAUX;31/05/2001;2;1
3790;62313404;AGARICUS BULBOSUS LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;23/07/2010;3;1
3791;62313468;TALOXA 600 mg/5 ml suspension buvable;suspension buvable;FAUX;;;ORGANON FRANCE;FAUX;16/05/1994;1;1
3792;62314890;DELTYBA 25 mg, comprimé dispersible;comprimé dispersible;FAUX;;EU/1/13/875;OTSUKA NOVEL PRODUCTS (ALLEMAGNE);FAUX;16/09/2021;5;1
3793;62316507;FINASTERIDE TEVA 5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;02/10/2006;1;1
3794;62316578;DASATINIB EG 140 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;10/04/2019;1;1
3795;62318928;ENALAPRIL/HYDROCHLOROTHIAZIDE ARROW 20 mg/12,5 mg, comprimé sécable;comprimé sécable;FAUX;;;ARROW GENERIQUES;FAUX;18/10/2004;2;1
3796;62318935;CURACNE 10 mg, capsule molle;capsule molle;FAUX;;;PIERRE FABRE MEDICAMENT;VRAI;28/12/2001;1;1
3797;62319791;OXSYNIA LP 30 mg/15 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;MUNDIPHARMA;FAUX;15/01/2018;4;1
3798;62319930;SPIRAMYCINE METRONIDAZOLE ZENTIVA 1,5 MUI/250 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZENTIVA FRANCE;FAUX;09/10/2000;2;1
3799;62321657;CACAO BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;03/02/2017;3;1
3800;62322104;CLINIMIX N12 G20, solution pour perfusion en poche bicompartiment;solution et  solution pour perfusion;VRAI;Warning disponibilité;;BAXTER;FAUX;20/05/1996;2;1
3801;62323042;PRAVASTATINE ARROW 40 mg, comprimé sécable;comprimé sécable;FAUX;;;ARROW GENERIQUES;FAUX;18/12/2012;4;1
3802;62325673;POMMADE AU CALENDULA LHF, pommade;pommade;FAUX;;;BOIRON;FAUX;03/02/2020;2;1
3803;62326355;GLICLAZIDE KRKA 60 mg, comprimé à libération modifiée;comprimé à libération modifiée;FAUX;;;KRKA (SLOVENIE);FAUX;05/07/2013;4;1
3804;62326387;PEVARYL 1 POUR CENT, solution pour application locale en flacon pulvérisateur;solution pour application;FAUX;;;KARO PHARMA (SUEDE);FAUX;16/12/1992;2;1
3805;62327311;VALPROATE DE SODIUM TEVA SANTE L.P. 500 mg, comprimé pelliculé sécable à libération prolongée;comprimé pelliculé sécable à libération prolongée;FAUX;;;RATIOPHARM (ALLEMAGNE);VRAI;09/08/2005;2;1
3806;62329077;URAPIDIL VIATRIS 25 mg/5 ml, solution injectable;solution injectable;FAUX;;;VIATRIS SANTE;FAUX;18/03/2011;2;1
3807;62330898;EXACYL 0,5 g/5 ml I.V., solution injectable;solution injectable;FAUX;;;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE);FAUX;22/04/1987;2;1
3808;62331391;SOMAVERT 25 mg, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;EU/1/02/240;PFIZER EUROPE MA EEIG (BELGIQUE);FAUX;17/07/2015;5;1
3809;62332319;SINETRAV 40 microgrammes/mL, collyre en solution;collyre en solution;FAUX;;;HORUS PHARMA;FAUX;07/09/2017;4;1
3810;62332372;REBIF 44 microgrammes, solution injectable en seringue préremplie;solution injectable;FAUX;;EU/1/98/063;MERCK SERONO EUROPE (ROYAUME-UNI);FAUX;29/03/1999;5;1
3811;62333104;QUETIAPINE SUN LP 50 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;SUN PHARMA FRANCE;FAUX;08/04/2016;2;1
3812;62333524;NOVOEIGHT 2000 UI, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;EU/1/13/888;NOVO NORDISK (DANEMARK);FAUX;13/11/2013;5;1
3813;62334028;EXEDIEM, crème;crème;VRAI;Warning disponibilité;;PIERRE FABRE MEDICAMENT;FAUX;11/12/1991;2;1
3814;62334754;TRAVOPROST TEVA 40 microgrammes/mL, collyre en solution;collyre en solution;FAUX;;;TEVA SANTE;FAUX;04/05/2017;4;1
3815;62334786;PACLITAXEL ARROW 6 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;;EUGIA PHARMA (MALTA) (MALTE);FAUX;20/01/2009;4;1
3816;62336157;AGRIMONIA EUPATORIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;15/03/2013;3;1
3817;62336456;DULOXETINE SANDOZ 60 mg, gélule gastro-résistante;gélule gastro-résistant(e);FAUX;;;SANDOZ;FAUX;17/07/2017;4;1
3818;62337711;THYROFIX 112 microgrammes, comprimé;comprimé;FAUX;;;UNI-PHARMA KLEON TSETIS PHARMACEUTICAL LABORATORIES (GRECE);FAUX;14/06/2019;4;1
3819;62338254;MINOCYCLINE BIOGARAN 100 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;VRAI;Warning disponibilité;;BIOGARAN;FAUX;28/03/1997;2;4
3820;62338400;CELECOXIB BIOGARAN 100 mg, gélule;gélule;FAUX;;;BIOGARAN;FAUX;17/11/2014;2;1
3821;62338553;EBASTINE ARROW 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ARROW GENERIQUES;FAUX;28/02/2014;2;1
3822;62340013;BOSENTAN SANDOZ 62,5 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;SANDOZ;FAUX;10/08/2016;4;2
3823;62341282;TRIATEC 2,5 mg, comprimé sécable;comprimé sécable;VRAI;Warning disponibilité;;DIFARMED (ESPAGNE);FAUX;18/09/2017;7;2
3824;62342434;SOLIFENACINE ZYDUS 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZYDUS FRANCE;FAUX;16/10/2017;2;1
3825;62343034;IMATINIB TEVA 100 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/12/808;TEVA (PAYS-BAS);FAUX;08/01/2013;5;1
3826;62344129;DOGMATIL 50 mg, gélule;gélule;FAUX;;;NEURAXPHARM FRANCE;FAUX;01/07/1987;2;1
3827;62345035;FUCIDINE 2 POUR CENT, pommade;pommade;FAUX;;;LABORATOIRES LEO;FAUX;29/07/1985;2;1
3828;62345380;IPRATROPIUM TEVA 0,5 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose;solution pour inhalation par nébuliseur;FAUX;;;TEVA SANTE;FAUX;27/05/2008;1;1
3829;62345448;RISEDRONATE BGR 35 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;BIOGARAN;FAUX;28/06/2010;2;4
3830;62345455;TRANSVERCID 14,54 mg/12 mm, dispositif pour application cutanée;dispositif pour application;FAUX;;;PIERRE FABRE MEDICAMENT;FAUX;17/12/1998;2;1
3831;62345640;OXALIPLATINE VIATRIS 5 mg/ml, poudre pour solution pour perfusion;poudre pour solution pour perfusion;FAUX;;;VIATRIS SANTE;FAUX;01/02/2007;1;1
3832;62345971;CEDRON LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;08/08/2013;3;1
3833;62346703;QUETIAPINE EVOLUGEN LP 400 mg, comprimé à libération prolongée;comprimé à libération prolongée;FAUX;;;EVOLUPHARM;FAUX;28/07/2017;2;1
3834;62347260;PROPIONATE DE FLUTICASONE/SALMETEROL BIOGARAN AIRMASTER 250 microgrammes/ 50 microgrammes/dose, poudre pour inhalation en récipient unidose;poudre pour inhalation;FAUX;;;BIOGARAN;FAUX;09/06/2021;1;1
3835;62348191;MEKINIST 0,5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/14/931;NOVARTIS EUROPHARM (IRLANDE);FAUX;30/06/2014;5;1
3836;62348266;VERTEBRA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;13/11/2020;3;1
3837;62348355;LEFLUNOMIDE EG 20 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;30/09/2011;4;1
3838;62348654;ENTEROCOCCINUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;14/05/2020;3;1
3839;62348800;CEFPODOXIME EG 100 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;24/04/2007;2;1
3840;62349731;BISOPROLOL CRISTERS 10 mg, comprimé sécable;comprimé sécable;FAUX;;;CRISTERS;FAUX;26/02/2016;2;1
3841;62349845;RANITIDINE EG 150 mg, comprimé effervescent;comprimé effervescent(e);VRAI;Alerte;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;30/03/2009;2;5
3842;62350438;CATACOL 0,1 POUR CENT, collyre;collyre;VRAI;Warning disponibilité;;NOVARTIS PHARMA;FAUX;02/05/1997;2;4
3843;62350477;DEXAMETHASONE KRKA 4 mg/ml, solution injectable/pour perfusion;solution injectable ou pour perfusion;FAUX;;;KRKA (SLOVENIE);FAUX;30/04/2020;4;1
3844;62350491;TADALAFIL TEVA 10 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;TEVA SANTE;FAUX;23/05/2017;4;1
3845;62351344;LEVONORGESTREL/ETHINYLESTRADIOL BIOGARAN 150 microgrammes/30 microgrammes, comprimé enrobé;comprimé enrobé;VRAI;Warning disponibilité;;BIOGARAN;FAUX;13/10/2014;2;1
3846;62351440;TILIA EUROPAEA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;BOIRON;FAUX;18/09/2013;3;1
3847;62351650;CODOLIPRANE 500 mg/30 mg, comprimé effervescent sécable;comprimé effervescent(e) sécable;VRAI;Warning disponibilité;;OPELLA HEALTHCARE FRANCE;FAUX;07/11/2008;2;1
3848;62353402;W436;granules et  solution en gouttes en gouttes buvable en gouttes;FAUX;;;WELEDA;FAUX;09/07/2020;3;1
3849;62354881;PROPIONATE DE FLUTICASONE/SALMETEROL ZENTIVA 250 microgrammes/25 microgrammes/dose, suspension pour inhalation en flacon pressurisé;suspension pour inhalation;FAUX;;;ZENTIVA FRANCE;FAUX;21/03/2019;4;1
3850;62355702;TOPALGIC 100 mg/2 ml, solution injectable en ampoule;solution injectable;FAUX;;;NEURAXPHARM FRANCE;FAUX;27/07/1995;2;1
3851;62357468;VALACICLOVIR BIOGARAN 500 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;GLAXOSMITHKLINE;FAUX;31/07/2008;2;1
3852;62358011;LEVETIRACETAM TEVA 100 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;VRAI;Warning disponibilité;;TEVA SANTE;FAUX;10/01/2012;4;2
3853;62358794;ASPIRINE 500 mg VITAMINE C OBERLIN, comprimé effervescent;comprimé effervescent(e) sécable;VRAI;Warning disponibilité;;UPSA;FAUX;14/12/1995;2;2
3854;62359608;VIMPAT 200 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/08/470;UCB PHARMA BELGIQUE;FAUX;29/08/2008;5;1
3855;62360681;ROPIVACAINE VIATRIS 7,5 mg/ml, solution injectable en ampoule;solution injectable;FAUX;;;VIATRIS SANTE;FAUX;04/02/2009;4;1
3856;62361438;BETAFACT 100 UI/mL, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;;LFB-BIOMEDICAMENTS;FAUX;19/03/2009;2;1
3857;62361751;SAVENE 20 mg/ml, poudre pour solution à diluer et diluant pour solution pour perfusion;poudre à diluer à diluer et  diluant pour solution pour perfusion;FAUX;;EU/1/06/350;CLINIGEN HEALTHCARE (PAYS BAS);FAUX;28/07/2006;5;1
3858;62362369;CAELYX PEGYLATED LIPOSOMAL 2 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;EU/1/96/011;BAXTER HOLDING (PAYS-BAS);FAUX;21/06/1996;5;1
3859;62362440;XAMIOL 50 microgrammes/0,5 mg/g, gel;gel;FAUX;;;LEO PHARMA A/S (DANEMARK);FAUX;30/10/2008;4;1
3860;62362497;FARMORUBICINE 50 mg, poudre pour solution pour perfusion;poudre pour solution pour perfusion;FAUX;;;PFIZER HOLDING FRANCE;FAUX;05/03/1990;2;1
3861;62363097;ARANESP 100 microgrammes, solution injectable en stylo prérempli;solution injectable;FAUX;;EU/1/01/185;AMGEN EUROPE;FAUX;28/02/2005;5;1
3862;62363396;VIVELLEDOT 75 microgrammes/24 heures, dispositif transdermique;dispositif;VRAI;Warning disponibilité;;NOVARTIS PHARMA;FAUX;15/04/2002;1;1
3863;62363802;CURETHYL 26 POUR CENT, solution injectable I.V.;solution injectable;FAUX;;;CEMAG CARE;FAUX;29/09/1997;2;1
3864;62364128;IRBESARTAN/HYDROCHLOROTHIAZIDE ARROW GENERIQUES 300 mg/25 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;ARROW GENERIQUES;FAUX;02/07/2012;2;2
3865;62365493;DEXAMETHASONE VIATRIS 4 mg/1 ml, solution injectable en ampoule;solution injectable;FAUX;;;VIATRIS SANTE;FAUX;12/11/1993;2;1
3866;62367067;LANSOPRAZOLE VIATRIS 30 mg, comprimé orodispersible;comprimé orodispersible;FAUX;;;VIATRIS SANTE;FAUX;22/07/2013;4;1
3867;62367569;LORATADINE TEVA CONSEIL 10 mg, comprimé;comprimé;FAUX;;;TEVA SANTE;FAUX;14/05/2010;2;1
3868;62368639;BUPRENORPHINE ARROW 0,4 mg, comprimé sublingual;comprimé;FAUX;;;ARROW GENERIQUES;FAUX;31/01/2006;2;1
3869;62369506;TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ 80 mg/12,5 mg, comprimé;comprimé;VRAI;Warning disponibilité;;SANDOZ;FAUX;23/09/2013;2;2
3870;62370693;ZOLPIDEM TEVA SANTE 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;TEVA SANTE;FAUX;03/07/2003;2;1
3871;62371126;ETHYOL 50 mg/ml, poudre pour solution pour perfusion;poudre pour solution pour perfusion;VRAI;Warning disponibilité;;CLINIGEN HEALTHCARE (PAYS BAS);FAUX;17/02/1995;1;4
3872;62371553;LOSARTAN CRISTERS 50 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;CRISTERS;FAUX;04/09/2009;2;1
3873;62373038;RETACNYL 0,025 %, crème;crème;FAUX;;;GALDERMA INTERNATIONAL;FAUX;08/01/1991;2;1
3874;62373974;TOPIRAMATE ARROW GENERIQUES 100 mg, comprimé pelliculé;comprimé pelliculé;VRAI;Warning disponibilité;;ARROW GENERIQUES;FAUX;27/10/2008;2;2
3875;62374058;CHLORAPREP COLORE, solution pour application cutanée;solution pour application;FAUX;;;BECTON DICKINSON FRANCE;FAUX;23/02/2010;4;1
3876;62375509;ABIRATERONE MYLAN 500 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/21/1571;MYLAN IRELAND (IRLANDE);FAUX;20/08/2021;5;1
3877;62376828;TRANDOLAPRIL EG 2 mg, gélule;gélule;VRAI;Warning disponibilité;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;25/11/2009;4;1
3878;62377079;VIMPAT 50 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/08/470;UCB PHARMA BELGIQUE;FAUX;29/08/2008;5;1
3879;62378195;FLUCONAZOLE EG 200 mg, gélule;gélule;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;30/11/2006;2;1
3880;62379272;COLOCYNTHIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;17/04/2012;3;1
3881;62380285;PIPERACILLINE/TAZOBACTAM ARROW 4 g/500 mg, poudre pour solution pour perfusion;poudre pour solution pour perfusion;FAUX;;;EUGIA PHARMA (MALTA) (MALTE);FAUX;15/09/2021;4;1
3882;62381444;FORMICUM ACIDUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;23/10/2009;3;1
3883;62382724;DONORMYL 15 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;UPSA;FAUX;22/12/1988;2;1
3884;62384376;MIANSERINE RPG 30 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;VRAI;Warning disponibilité;;RANBAXY PHARMACIE GENERIQUES;FAUX;19/03/2003;2;2
3885;62384935;NUBEQA 300 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/20/1432;BAYER AG (ALLEMAGNE);VRAI;27/03/2020;5;1
3886;62385791;LANSOPRAZOLE SANDOZ 30 mg, comprimé orodispersible;comprimé orodispersible;VRAI;Warning disponibilité;;SANDOZ;FAUX;25/07/2014;2;1
3887;62386427;ILOMEDINE 0,1 mg/1 ml, solution à diluer pour perfusion;solution à diluer pour perfusion;FAUX;;;BAYER HEALTHCARE;FAUX;16/06/1992;2;1
3888;62387714;RAMIPRIL ZENTIVA 2,5 mg, comprimé sécable;comprimé sécable;FAUX;;;ZENTIVA FRANCE;FAUX;22/03/2005;1;1
3889;62387842;TRIMEBUTINE MEDISOL 50 mg/5 mL, solution injectable;solution injectable;FAUX;;;MEDISOL;FAUX;06/10/2017;2;1
3890;62388307;OFEV 100 mg, capsule molle;capsule molle;FAUX;;EU/1/14/979;BOEHRINGER INGELHEIM INTERNATIONAL;FAUX;15/01/2015;5;1
3891;62389398;URAPIDIL VIATRIS LP 30 mg, gélule à libération prolongée;gélule à libération prolongée;FAUX;;;VIATRIS SANTE;FAUX;10/03/2020;4;1
3892;62390393;ROSUVASTATINE KRKA 5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;KRKA (SLOVENIE);FAUX;15/12/2017;4;1
3893;62390482;BETADINE 10 %, solution vaginale en récipient unidose;solution;FAUX;;;MEDA PHARMA;FAUX;06/10/2000;2;1
3894;62390849;CORTANCYL 20 mg, comprimé sécable;comprimé sécable;FAUX;;;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE);FAUX;02/05/1990;2;1
3895;62393891;PIRACETAM ARROW 20 %, solution buvable;solution buvable;FAUX;;;ARROW GENERIQUES;FAUX;04/09/2001;2;1
3896;62393941;RISEDRONATE BIOGARAN 35 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;BIOGARAN;FAUX;12/11/2010;2;1
3897;62394153;XYBILUN 100 mg, film orodispersible;film orodispersible;FAUX;;;IBSA PHARMA SAS;FAUX;25/09/2017;4;1
3898;62394630;CETIRIZINE ZENTIVA 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;ZENTIVA FRANCE;FAUX;05/05/2003;2;1
3899;62395294;CELECOXIB MYLAN PHARMA 100 mg, gélule;gélule;VRAI;Warning disponibilité;;MYLAN SAS;FAUX;18/06/2014;2;2
3900;62395668;GLYCEROL/VASELINE/PARAFFINE ARROW 15 %/8 %/2 %, crème;crème;FAUX;;;ARROW GENERIQUES;FAUX;13/03/2014;2;1
3901;62395974;BOTOX 100 UNITÉS ALLERGAN, poudre pour solution injectable;poudre pour solution injectable;FAUX;;;ABBVIE;FAUX;22/08/2000;2;1
3902;62397929;VARDENAFIL BIOGARAN 20 mg, comprimé;comprimé pelliculé;FAUX;;;BIOGARAN;FAUX;01/08/2018;4;1
3903;62398493;ALLIUM CEPA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;FAUX;;;LEHNING;FAUX;06/04/2011;3;1
3904;62398529;BICALUTAMIDE SANDOZ 50 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;SANDOZ;FAUX;18/04/2008;4;1
3905;62401060;ABACAVIR VIATRIS 300 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;FAUX;;;VIATRIS SANTE;FAUX;21/02/2018;4;1
3906;62401434;CETIRIZINE TEVA 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;VRAI;Warning disponibilité;;TEVA SANTE;FAUX;17/05/2004;2;1
3907;62402447;DERMESTRIL SEPTEM 50 microgrammes/24 heures, dispositif transdermique;dispositif;FAUX;;;ROTTAPHARM;FAUX;19/11/1999;1;1
3908;62402568;EUPHORBIUM COMPLEXE N°88, solution buvable en gouttes;solution buvable en gouttes;FAUX;;;LEHNING;FAUX;28/06/2019;2;1
3909;62403086;LEFLUNOMIDE RATIOPHARM 20 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;EU/1/10/654;RATIOPHARM (ALLEMAGNE);FAUX;29/11/2010;5;1
3910;62403136;PROPRANOLOL ACETLAB 5 mg/5 mL, solution injectable;solution injectable;FAUX;;;MITEM PHARMA;FAUX;22/01/2018;2;1
3911;62403531;CHLORURE DE MAGNESIUM 10 POUR CENT (1 g/10 ml) LAVOISIER, solution injectable (I.V.) en ampoule;solution injectable;FAUX;;;CHAIX ET DU MARAIS;FAUX;06/12/1996;2;1
3912;62403684;RAMIPRIL EG 5 mg, comprimé sécable;comprimé sécable;FAUX;;;EG LABO - LABORATOIRES EUROGENERICS;FAUX;24/01/2006;2;1
3913;62403976;ELIGARD 7,5 mg, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FAUX;;;RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA (ITALIE);FAUX;25/03/2005;1;1
3914;62404028;TARKA LP 180 mg/2 mg, comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;FAUX;;;VIATRIS MEDICAL;FAUX;24/10/2001;2;1
3915;62404793;BOOSTRIXTETRA, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigènes);suspension injectable;FAUX;;;GLAXOSMITHKLINE;FAUX;07/01/2005;1;1
3916;62404996;SUFENTANIL VIATRIS 50 microgrammes/ml, solution injectable (IV ou péridurale);solution injectable;FAUX;;;VIATRIS SANTE;FAUX;28/07/2003;2;1
3917;62405272;RIBES NIGRUM macérat glycériné BOIRON, degré de dilution compris entre 4DH et 6DH;granules et  solution en gouttes en gouttes;FAUX;;;BOIRON;FAUX;26/10/2020;3;1
3918;62405443;PIPERACILLINE/TAZOBACTAM KALCEKS 2 g/0,25 g, poudre pour solution pour perfusion;poudre pour solution pour perfusion;FAUX;;;AS KALCEKS (LETTONIE);FAUX;06/01/2023;4;1
3919;62406495;SITAGLIPTINE/METFORMINE ZENTIVA 50 mg/1000 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;ZENTIVA FRANCE;FAUX;21/02/2022;4;1
3920;62408126;GLUCOSE 10 % B.BRAUN, solution pour perfusion;solution pour perfusion;FAUX;;;B BRAUN MEDICAL;FAUX;16/08/1988;2;1
3921;62408891;PIROXICAM PFIZER 20 mg/1 ml, solution injectable en ampoule (IM);solution injectable;VRAI;Warning disponibilité;;PFIZER HOLDING FRANCE;FAUX;13/10/1995;2;1
3922;62409751;GADOVIST 1,0 mmol/mL, solution injectable en seringue préremplie;solution injectable;FAUX;;;BAYER HEALTHCARE;FAUX;12/02/2003;1;1
3923;62410369;DONEPEZIL VIATRIS 5 mg, comprimé pelliculé;comprimé pelliculé;FAUX;;;VIATRIS SANTE;FAUX;09/10/2008;1;1
3924;62410472;DEPAKINE 200 mg/ml, solution buvable;solution buvable;FAUX;;;SANOFI WINTHROP INDUSTRIE;VRAI;25/09/1995;2;1
3925;62410629;EPOPROSTENOL PANPHARMA 0,5 mg, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;VRAI;Warning disponibilité;;PANMEDICA;FAUX;28/07/2010;2;1
3926;62411713;NICORANDIL VIATRIS 10 mg, comprimé sécable;comprimé sécable;FAUX;;;VIATRIS SANTE;FAUX;13/09/2012;2;1
